nom_etab;Appellation officielle;type_es;Adresse;cp;Commune;prix_moyen_m2_appartement;prix_moyen_m2_maison;id_quartier;Quartier;prix_quartier_m2_appart;id_quartier_details;Quartier_detail;prix_Quartier_detail_m2_appart;id_pole;Nom du pôle;Longitude_Latitude
CHAMPENOIS E;Ecole élémentaire Champenois;E;8 rue Champenois;44000;Nantes;3295;3815;5;Malakoff - Saint-Donatien;3536;5a;Saint Donatien;3397;9;Nantes-Loire;[-1.52629026976032,47.2256650828199]
COUDRAY E;Ecole élémentaire Le Coudray;E;20 rue du Coudray;44000;Nantes;3582;4503;5;Malakoff - Saint-Donatien;3536;5a;Saint Donatien;3397;9;Nantes-Loire;[-1.54321989705865,47.2329663508549]
COUDRAY M;Ecole maternelle Le Coudray;M;2 rue Pierre Benoît;44000;Nantes;3881;4385;5;Malakoff - Saint-Donatien;3536;5a;Saint Donatien;3397;9;Nantes-Loire;[-1.54324017403968,47.2340828312344]
LOUIS GUIOTTON M;Ecole maternelle Louis Guiotton;M;7 rue Champenois;44000;Nantes;3295;3815;5;Malakoff - Saint-Donatien;3536;5a;Saint Donatien;3397;9;Nantes-Loire;[-1.5275895007385,47.2254844342072]
STALINGRAD E;Ecole élémentaire Stalingrad;E;12 boulevard de Stalingrad;44000;Nantes;3550;4393;5;Malakoff - Saint-Donatien;3536;5a;Saint Donatien;3397;9;Nantes-Loire;[-1.53728990999683,47.2190908945249]
STALINGRAD M;Ecole maternelle Stalingrad;M;6 allée du Bourg Fumé;44000;Nantes;3437;4444;5;Malakoff - Saint-Donatien;3536;5a;Saint Donatien;3397;9;Nantes-Loire;[-1.53736060108517,47.2196616416252]
SULLY M/E;Ecole élémentaire Sully;M/E;5 rue Henri Cochard;44000;Nantes;3836;4806;5;Malakoff - Saint-Donatien;3536;5a;Saint Donatien;3397;9;Nantes-Loire;[-1.54948946494049,47.2232517022595]
AMPERE M/E;Ecole primaire Ampère;M/E;17 rue Ampère;44100;Nantes;3436;4226;3;Dervallières - Zola;3527;3b;Zola;3424;8;Nantes-Ouest;[-1.5847196363270009,47.211491378502664]
CONTRIE M/E;Ecole élémentaire La Contrie;M/E;19 rue de la Petite Reine;44100;Nantes;3140;3766;3;Dervallières - Zola;3527;3b;Zola;3424;8;Nantes-Ouest;[-1.59985972493445,47.2156819761995]
FRATERNITE E;Ecole élémentaire Fraternité;E;24 boulevard de la Fraternité;44100;Nantes;3565;4424;3;Dervallières - Zola;3527;3b;Zola;3424;8;Nantes-Ouest;[-1.58611016916784,47.2156278205345]
MAISDON PAJOT M;Ecole maternelle Maisdon Pajot;M;22 rue Maisdon Pajot;44100;Nantes;3553;4490;3;Dervallières - Zola;3527;3b;Zola;3424;8;Nantes-Ouest;[-1.58478050277931,47.2154938201132]
